"ID","post_author","post_date","post_date_gmt","post_content","post_title","post_excerpt","post_status","comment_status","ping_status","post_password","post_name","to_ping","pinged","post_modified","post_modified_gmt","post_content_filtered","post_parent","guid","menu_order","post_type","post_mime_type","comment_count"
"3","1","2015-06-17 06:18:32","0000-00-00 00:00:00",,"Auto Draft",,"auto-draft","open","open",,,,,"2015-06-17 06:18:32","0000-00-00 00:00:00",,"0","http://statistquo.com/?p=3","0","post",,"0"
"5","1","2015-06-17 06:46:36","2015-06-17 06:46:36","The meaning of the term ""liberal"" was changed decades ago in the U.S. The change was the result of statists who recognized how popular liberalism had become. It still confuses people today, even leftists, and it will continue to do so until the confusion is rectified.

Here is an example of the confusion. I will address the authors arguments in a later post.

<a href=""http://www.rawstory.com/2015/05/here-are-7-things-people-who-say-theyre-fiscally-conservative-but-socially-liberal-dont-understand/"">http://www.rawstory.com/2015/05/here-are-7-things-people-who-say-theyre-fiscally-conservative-but-socially-liberal-dont-understand/</a>","Leftist Author Attempts to Clarify the Blur Created on the Left",,"publish","open","open",,"leftist-author-attempts-to-clarify-the-blur-created-on-the-left",,,"2015-06-19 04:53:35","2015-06-19 04:53:35",,"0","http://statistquo.com/?p=5","0","post",,"0"
"6","1","2015-06-17 06:46:36","2015-06-17 06:46:36","<a href=""http://www.rawstory.com/2015/05/here-are-7-things-people-who-say-theyre-fiscally-conservative-but-socially-liberal-dont-understand/"">http://www.rawstory.com/2015/05/here-are-7-things-people-who-say-theyre-fiscally-conservative-but-socially-liberal-dont-understand/</a>","Here are 7 things people who say they’re ‘fiscally conservative but socially liberal’ don’t understand",,"inherit","open","open",,"5-revision-v1",,,"2015-06-17 06:46:36","2015-06-17 06:46:36",,"5","http://statistquo.com/2015/06/17/5-revision-v1/","0","revision",,"0"
"7","1","2015-06-17 06:57:06","2015-06-17 06:57:06","The meaning of the term ""liberal"" was changed decades ago in the U.S. The change was the result of statists who recognized how popular liberalism had become. It still confuses people today, even leftists, and it will continue to

<a href=""http://www.rawstory.com/2015/05/here-are-7-things-people-who-say-theyre-fiscally-conservative-but-socially-liberal-dont-understand/"">http://www.rawstory.com/2015/05/here-are-7-things-people-who-say-theyre-fiscally-conservative-but-socially-liberal-dont-understand/</a>","Leftist Author Attempts to Clarify the Blur Created on the Left",,"inherit","open","open",,"5-autosave-v1",,,"2015-06-17 06:57:06","2015-06-17 06:57:06",,"5","http://statistquo.com/2015/06/17/5-autosave-v1/","0","revision",,"0"
"8","1","2015-06-17 06:59:03","2015-06-17 06:59:03","The meaning of the term ""liberal"" was changed decades ago in the U.S. The change was the result of statists who recognized how popular liberalism had become. It still confuses people today, even leftists, and it will continue to do so until the confusion is rectified.

Here is an example of the confusion. I will address the authors arguments in a later post.

<a href=""http://www.rawstory.com/2015/05/here-are-7-things-people-who-say-theyre-fiscally-conservative-but-socially-liberal-dont-understand/"">http://www.rawstory.com/2015/05/here-are-7-things-people-who-say-theyre-fiscally-conservative-but-socially-liberal-dont-understand/</a>","Leftist Author Attempts to Clarify the Blur Created on the Left",,"inherit","open","open",,"5-revision-v1",,,"2015-06-17 06:59:03","2015-06-17 06:59:03",,"5","http://statistquo.com/2015/06/17/5-revision-v1/","0","revision",,"0"
"10","1","2015-06-18 13:53:34","2015-06-18 13:53:34","<a href=""http://www.everyjoe.com/2015/06/17/politics/understanding-triggers-microaggression-as-strategy/#1"">http://www.everyjoe.com/2015/06/17/politics/understanding-triggers-microaggression-as-strategy/#1</a>","Understanding Triggers and Microaggression as Strategy",,"draft","open","open",,,,,"2015-06-18 13:53:34","2015-06-18 13:53:34",,"0","http://statistquo.com/?p=10","0","post",,"0"
"11","1","2015-06-18 13:53:34","2015-06-18 13:53:34","<a href=""http://www.everyjoe.com/2015/06/17/politics/understanding-triggers-microaggression-as-strategy/#1"">http://www.everyjoe.com/2015/06/17/politics/understanding-triggers-microaggression-as-strategy/#1</a>","Understanding Triggers and Microaggression as Strategy",,"inherit","open","open",,"10-revision-v1",,,"2015-06-18 13:53:34","2015-06-18 13:53:34",,"10","http://statistquo.com/2015/06/18/10-revision-v1/","0","revision",,"0"
"12","1","2015-06-18 14:18:42","2015-06-18 14:18:42","<a href=""http://www.washingtonpost.com/news/volokh-conspiracy/wp/2015/06/16/uc-teaching-faculty-members-not-to-criticize-race-based-affirmative-action-call-america-melting-pot-and-more/"">http://www.washingtonpost.com/news/volokh-conspiracy/wp/2015/06/16/uc-teaching-faculty-members-not-to-criticize-race-based-affirmative-action-call-america-melting-pot-and-more/</a>","UC teaching faculty members not to criticize race-based affirmative action, call America ‘melting pot,’ and more - The Washington Post",,"draft","open","open",,,,,"2015-06-18 14:18:42","2015-06-18 14:18:42",,"0","http://statistquo.com/?p=12","0","post",,"0"
"13","1","2015-06-18 14:18:42","2015-06-18 14:18:42","<a href=""http://www.washingtonpost.com/news/volokh-conspiracy/wp/2015/06/16/uc-teaching-faculty-members-not-to-criticize-race-based-affirmative-action-call-america-melting-pot-and-more/"">http://www.washingtonpost.com/news/volokh-conspiracy/wp/2015/06/16/uc-teaching-faculty-members-not-to-criticize-race-based-affirmative-action-call-america-melting-pot-and-more/</a>","UC teaching faculty members not to criticize race-based affirmative action, call America ‘melting pot,’ and more - The Washington Post",,"inherit","open","open",,"12-revision-v1",,,"2015-06-18 14:18:42","2015-06-18 14:18:42",,"12","http://statistquo.com/2015/06/18/12-revision-v1/","0","revision",,"0"
"14","1","2015-06-25 13:40:34","2015-06-25 13:40:34","<a href=""https://www.theobjectivestandard.com/2015/06/yes-conservatives-islam-is-a-religion/"">https://www.theobjectivestandard.com/2015/06/yes-conservatives-islam-is-a-religion/</a>","Yes, Conservatives, Islam Is a Religion - The Objective Standard","The fundamental problem is not the specific tenets of Islam, but the idea that faith is a means of knowledge.","draft","open","open",,,,,"2015-06-25 13:40:34","2015-06-25 13:40:34",,"0","http://statistquo.com/?p=14","0","post",,"0"
"15","1","2015-06-25 13:40:34","2015-06-25 13:40:34","<a href=""https://www.theobjectivestandard.com/2015/06/yes-conservatives-islam-is-a-religion/"">https://www.theobjectivestandard.com/2015/06/yes-conservatives-islam-is-a-religion/</a>","Yes, Conservatives, Islam Is a Religion - The Objective Standard","The fundamental problem is not the specific tenets of Islam, but the idea that faith is a means of knowledge.","inherit","open","open",,"14-revision-v1",,,"2015-06-25 13:40:34","2015-06-25 13:40:34",,"14","http://statistquo.com/2015/06/25/14-revision-v1/","0","revision",,"0"
"16","1","2015-06-25 13:44:45","2015-06-25 13:44:45","<a href=""https://www.theobjectivestandard.com/2015/06/yes-conservatives-islam-is-a-religion/"">https://www.theobjectivestandard.com/2015/06/yes-conservatives-islam-is-a-religion/</a>","Yes, Conservatives, Islam Is a Religion - The Objective Standard",,"draft","open","open",,,,,"2015-06-25 13:44:45","2015-06-25 13:44:45",,"0","http://statistquo.com/?p=16","0","post",,"0"
"17","1","2015-06-25 13:44:45","2015-06-25 13:44:45","<a href=""https://www.theobjectivestandard.com/2015/06/yes-conservatives-islam-is-a-religion/"">https://www.theobjectivestandard.com/2015/06/yes-conservatives-islam-is-a-religion/</a>","Yes, Conservatives, Islam Is a Religion - The Objective Standard",,"inherit","open","open",,"16-revision-v1",,,"2015-06-25 13:44:45","2015-06-25 13:44:45",,"16","http://statistquo.com/2015/06/25/16-revision-v1/","0","revision",,"0"
"18","1","2015-06-28 20:08:59","0000-00-00 00:00:00","The early proponents of socialism were not anti-capitalists, like their modern disciples. Even Karl Marx himself saw capitalism as a necessary and good step on the supposed road to socialism.","The Subversion of Socialism",,"draft","open","open",,,,,"2015-06-28 20:08:59","2015-06-28 20:08:59",,"0","http://statistquo.com/?p=18","0","post",,"0"
"19","1","2015-06-28 20:08:59","2015-06-28 20:08:59","The early proponents of socialism were not anti-capitalists, like their modern disciples. Even Karl Marx himself saw capitalism as a necessary and good step on the supposed road to socialism.","The Subversion of Socialism",,"inherit","open","open",,"18-revision-v1",,,"2015-06-28 20:08:59","2015-06-28 20:08:59",,"18","http://statistquo.com/2015/06/28/18-revision-v1/","0","revision",,"0"
"20","1","2015-07-06 03:34:20","2015-07-06 03:34:20","Is the hijab a feminist statement? - <a href=""http://wp.me/p1N9km-a2"">http://wp.me/p1N9km-a2</a>","Shared from WordPress",,"draft","open","open",,,,,"2015-07-06 03:34:20","2015-07-06 03:34:20",,"0","http://statistquo.com/?p=20","0","post",,"0"
